"id";"idhotel";"date";"status"
"259";"9";"19/5/2015";"1"
"260";"9";"20/5/2015";"0"
"261";"9";"21/5/2015";"0"
"262";"9";"22/5/2015";"0"
"263";"9";"23/5/2015";"0"
"264";"9";"24/5/2015";"0"
"265";"9";"25/5/2015";"0"
"266";"9";"26/5/2015";"0"
"267";"9";"27/5/2015";"0"
"268";"9";"28/5/2015";"1"
"269";"9";"29/5/2015";"1"
"270";"9";"30/5/2015";"1"
"271";"10";"1/5/2015";"1"
"272";"10";"2/5/2015";"0"
"273";"10";"3/5/2015";"0"
"274";"10";"4/5/2015";"1"
"275";"10";"5/5/2015";"1"
"276";"10";"6/5/2015";"0"
"277";"10";"7/5/2015";"1"
"278";"10";"8/5/2015";"1"
"279";"10";"9/5/2015";"1"
"280";"10";"10/5/2015";"1"
"281";"10";"11/5/2015";"0"
"282";"10";"12/5/2015";"1"
"283";"10";"13/5/2015";"0"
"284";"10";"14/5/2015";"0"
"285";"10";"15/5/2015";"1"
"286";"10";"16/5/2015";"0"
"287";"10";"17/5/2015";"0"
"288";"10";"18/5/2015";"1"
"289";"10";"19/5/2015";"0"
"290";"10";"20/5/2015";"0"
"291";"10";"21/5/2015";"0"
"292";"10";"22/5/2015";"1"
"293";"10";"23/5/2015";"1"
"294";"10";"24/5/2015";"1"
"295";"10";"25/5/2015";"0"
"296";"10";"26/5/2015";"1"
"297";"10";"27/5/2015";"0"
"298";"10";"28/5/2015";"0"
"299";"10";"29/5/2015";"1"
"300";"10";"30/5/2015";"1"
"301";"11";"1/5/2015";"0"
"302";"11";"2/5/2015";"0"
"303";"11";"3/5/2015";"0"
"304";"11";"4/5/2015";"1"
"305";"11";"5/5/2015";"0"
"306";"11";"6/5/2015";"0"
"307";"11";"7/5/2015";"0"
"308";"11";"8/5/2015";"1"
"309";"11";"9/5/2015";"1"
"310";"11";"10/5/2015";"0"
"311";"11";"11/5/2015";"1"
"312";"11";"12/5/2015";"1"
"313";"11";"13/5/2015";"1"
"314";"11";"14/5/2015";"0"
"315";"11";"15/5/2015";"1"
"316";"11";"16/5/2015";"0"
"317";"11";"17/5/2015";"1"
"318";"11";"18/5/2015";"1"
"319";"11";"19/5/2015";"0"
"320";"11";"20/5/2015";"0"
"321";"11";"21/5/2015";"1"
"322";"11";"22/5/2015";"0"
"323";"11";"23/5/2015";"0"
"324";"11";"24/5/2015";"0"
"325";"11";"25/5/2015";"1"
"326";"11";"26/5/2015";"1"
"327";"11";"27/5/2015";"0"
"328";"11";"28/5/2015";"1"
"329";"11";"29/5/2015";"0"
"330";"11";"30/5/2015";"1"
"331";"12";"1/5/2015";"0"
"332";"12";"2/5/2015";"0"
"333";"12";"3/5/2015";"0"
"334";"12";"4/5/2015";"1"
"335";"12";"5/5/2015";"1"
"336";"12";"6/5/2015";"0"
"337";"12";"7/5/2015";"0"
"338";"12";"8/5/2015";"1"
"339";"12";"9/5/2015";"0"
"340";"12";"10/5/2015";"1"
"341";"12";"11/5/2015";"1"
"342";"12";"12/5/2015";"1"
"343";"12";"13/5/2015";"0"
"344";"12";"14/5/2015";"0"
"345";"12";"15/5/2015";"0"
"346";"12";"16/5/2015";"1"
"347";"12";"17/5/2015";"0"
"348";"12";"18/5/2015";"0"
"349";"12";"19/5/2015";"1"
"350";"12";"20/5/2015";"0"
"351";"12";"21/5/2015";"0"
"352";"12";"22/5/2015";"1"
"353";"12";"23/5/2015";"1"
"354";"12";"24/5/2015";"1"
"355";"12";"25/5/2015";"1"
"356";"12";"26/5/2015";"0"
"357";"12";"27/5/2015";"1"
"358";"12";"28/5/2015";"1"
"359";"12";"29/5/2015";"1"
"360";"12";"30/5/2015";"0"
"361";"13";"1/5/2015";"0"
"362";"13";"2/5/2015";"1"
"363";"13";"3/5/2015";"0"
"364";"13";"4/5/2015";"1"
"365";"13";"5/5/2015";"0"
"366";"13";"6/5/2015";"0"
"367";"13";"7/5/2015";"0"
"368";"13";"8/5/2015";"0"
"369";"13";"9/5/2015";"1"
"370";"13";"10/5/2015";"1"
"371";"13";"11/5/2015";"1"
"372";"13";"12/5/2015";"0"
"373";"13";"13/5/2015";"0"
"374";"13";"14/5/2015";"1"
"375";"13";"15/5/2015";"1"
"376";"13";"16/5/2015";"0"
"377";"13";"17/5/2015";"1"
"378";"13";"18/5/2015";"1"
"379";"13";"19/5/2015";"0"
"380";"13";"20/5/2015";"1"
"381";"13";"21/5/2015";"0"
"382";"13";"22/5/2015";"1"
"383";"13";"23/5/2015";"0"
"384";"13";"24/5/2015";"0"
"385";"13";"25/5/2015";"0"
"386";"13";"26/5/2015";"1"
"387";"13";"27/5/2015";"0"
"388";"13";"28/5/2015";"1"
"389";"13";"29/5/2015";"0"
"390";"13";"30/5/2015";"0"
"391";"14";"1/5/2015";"1"
"392";"14";"2/5/2015";"0"
"393";"14";"3/5/2015";"1"
"394";"14";"4/5/2015";"0"
"395";"14";"5/5/2015";"1"
"396";"14";"6/5/2015";"0"
"397";"14";"7/5/2015";"0"
"398";"14";"8/5/2015";"1"
"399";"14";"9/5/2015";"1"
"400";"14";"10/5/2015";"0"
"401";"14";"11/5/2015";"1"
"402";"14";"12/5/2015";"1"
"403";"14";"13/5/2015";"1"
"404";"14";"14/5/2015";"0"
"405";"14";"15/5/2015";"0"
"406";"14";"16/5/2015";"0"
"407";"14";"17/5/2015";"0"
"408";"14";"18/5/2015";"1"
"409";"14";"19/5/2015";"0"
"410";"14";"20/5/2015";"1"
"411";"14";"21/5/2015";"1"
"412";"14";"22/5/2015";"1"
"413";"14";"23/5/2015";"1"
"414";"14";"24/5/2015";"0"
"415";"14";"25/5/2015";"0"
"416";"14";"26/5/2015";"0"
"417";"14";"27/5/2015";"1"
"418";"14";"28/5/2015";"1"
"419";"14";"29/5/2015";"1"
"420";"14";"30/5/2015";"1"
"421";"15";"1/5/2015";"0"
"422";"15";"2/5/2015";"0"
"423";"15";"3/5/2015";"1"
"424";"15";"4/5/2015";"1"
"425";"15";"5/5/2015";"1"
"426";"15";"6/5/2015";"1"
"427";"15";"7/5/2015";"1"
"428";"15";"8/5/2015";"1"
"429";"15";"9/5/2015";"0"
"430";"15";"10/5/2015";"1"
"431";"15";"11/5/2015";"0"
"432";"15";"12/5/2015";"1"
"433";"15";"13/5/2015";"1"
"434";"15";"14/5/2015";"1"
"435";"15";"15/5/2015";"0"
"436";"15";"16/5/2015";"0"
"437";"15";"17/5/2015";"1"
"438";"15";"18/5/2015";"0"
"439";"15";"19/5/2015";"1"
"440";"15";"20/5/2015";"1"
"441";"15";"21/5/2015";"0"
"442";"15";"22/5/2015";"1"
"443";"15";"23/5/2015";"0"
"444";"15";"24/5/2015";"0"
"445";"15";"25/5/2015";"1"
"446";"15";"26/5/2015";"1"
"447";"15";"27/5/2015";"1"
"448";"15";"28/5/2015";"1"
"449";"15";"29/5/2015";"1"
"450";"15";"30/5/2015";"0"
"451";"16";"1/5/2015";"1"
"452";"16";"2/5/2015";"0"
"453";"16";"3/5/2015";"0"
"454";"16";"4/5/2015";"0"
"455";"16";"5/5/2015";"0"
"456";"16";"6/5/2015";"1"
"457";"16";"7/5/2015";"1"
"458";"16";"8/5/2015";"0"
"459";"16";"9/5/2015";"1"
"460";"16";"10/5/2015";"0"
"461";"16";"11/5/2015";"1"
"462";"16";"12/5/2015";"0"
"463";"16";"13/5/2015";"0"
"464";"16";"14/5/2015";"0"
"465";"16";"15/5/2015";"0"
"466";"16";"16/5/2015";"0"
"467";"16";"17/5/2015";"0"
"468";"16";"18/5/2015";"0"
"469";"16";"19/5/2015";"0"
"470";"16";"20/5/2015";"1"
"471";"16";"21/5/2015";"0"
"472";"16";"22/5/2015";"0"
"473";"16";"23/5/2015";"0"
"474";"16";"24/5/2015";"1"
"475";"16";"25/5/2015";"0"
"476";"16";"26/5/2015";"0"
"477";"16";"27/5/2015";"0"
"478";"16";"28/5/2015";"0"
"479";"16";"29/5/2015";"1"
"480";"16";"30/5/2015";"1"
"481";"17";"1/5/2015";"0"
"482";"17";"2/5/2015";"1"
"483";"17";"3/5/2015";"0"
"484";"17";"4/5/2015";"1"
"485";"17";"5/5/2015";"1"
"486";"17";"6/5/2015";"1"
"487";"17";"7/5/2015";"1"
"488";"17";"8/5/2015";"0"
"489";"17";"9/5/2015";"1"
"490";"17";"10/5/2015";"0"
"491";"17";"11/5/2015";"0"
"492";"17";"12/5/2015";"1"
"493";"17";"13/5/2015";"0"
"494";"17";"14/5/2015";"0"
"495";"17";"15/5/2015";"0"
"496";"17";"16/5/2015";"0"
"497";"17";"17/5/2015";"0"
"498";"17";"18/5/2015";"0"
"499";"17";"19/5/2015";"0"
"500";"17";"20/5/2015";"1"
"501";"17";"21/5/2015";"0"
"502";"17";"22/5/2015";"1"
"503";"17";"23/5/2015";"1"
"504";"17";"24/5/2015";"0"
"505";"17";"25/5/2015";"1"
"506";"17";"26/5/2015";"0"
"507";"17";"27/5/2015";"0"
"508";"17";"28/5/2015";"0"
"509";"17";"29/5/2015";"1"
"510";"17";"30/5/2015";"1"
"511";"18";"1/5/2015";"1"
"512";"18";"2/5/2015";"0"
"513";"18";"3/5/2015";"1"
"514";"18";"4/5/2015";"0"
"515";"18";"5/5/2015";"1"
"516";"18";"6/5/2015";"1"
"517";"18";"7/5/2015";"1"
"518";"18";"8/5/2015";"1"
"519";"18";"9/5/2015";"0"
"520";"18";"10/5/2015";"1"
"521";"18";"11/5/2015";"1"
"522";"18";"12/5/2015";"1"
"523";"18";"13/5/2015";"0"
"524";"18";"14/5/2015";"0"
"525";"18";"15/5/2015";"1"
"526";"18";"16/5/2015";"0"
"527";"18";"17/5/2015";"1"
"528";"18";"18/5/2015";"0"
"529";"18";"19/5/2015";"0"
"530";"18";"20/5/2015";"0"
"531";"18";"21/5/2015";"1"
"532";"18";"22/5/2015";"1"
"533";"18";"23/5/2015";"0"
"534";"18";"24/5/2015";"0"
"535";"18";"25/5/2015";"0"
"536";"18";"26/5/2015";"0"
"537";"18";"27/5/2015";"1"
"538";"18";"28/5/2015";"0"
"539";"18";"29/5/2015";"0"
"540";"18";"30/5/2015";"1"
"541";"19";"1/5/2015";"1"
"542";"19";"2/5/2015";"1"
"543";"19";"3/5/2015";"0"
"544";"19";"4/5/2015";"1"
"545";"19";"5/5/2015";"0"
"546";"19";"6/5/2015";"1"
"547";"19";"7/5/2015";"1"
"548";"19";"8/5/2015";"0"
"549";"19";"9/5/2015";"0"
"550";"19";"10/5/2015";"0"
"551";"19";"11/5/2015";"1"
"552";"19";"12/5/2015";"0"
"553";"19";"13/5/2015";"0"
"554";"19";"14/5/2015";"1"
"555";"19";"15/5/2015";"0"
"556";"19";"16/5/2015";"0"
"557";"19";"17/5/2015";"1"
"558";"19";"18/5/2015";"0"
"559";"19";"19/5/2015";"1"
"560";"19";"20/5/2015";"0"
"561";"19";"21/5/2015";"0"
"562";"19";"22/5/2015";"1"
"563";"19";"23/5/2015";"1"
"564";"19";"24/5/2015";"0"
"565";"19";"25/5/2015";"0"
"566";"19";"26/5/2015";"1"
"567";"19";"27/5/2015";"0"
"568";"19";"28/5/2015";"1"
"569";"19";"29/5/2015";"0"
"570";"19";"30/5/2015";"0"
"571";"20";"1/5/2015";"0"
"572";"20";"2/5/2015";"1"
"573";"20";"3/5/2015";"0"
"574";"20";"4/5/2015";"0"
"575";"20";"5/5/2015";"0"
"576";"20";"6/5/2015";"1"
"577";"20";"7/5/2015";"0"
"578";"20";"8/5/2015";"0"
"579";"20";"9/5/2015";"0"
"580";"20";"10/5/2015";"1"
"581";"20";"11/5/2015";"0"
"582";"20";"12/5/2015";"1"
"583";"20";"13/5/2015";"1"
"584";"20";"14/5/2015";"0"
"585";"20";"15/5/2015";"1"
"586";"20";"16/5/2015";"1"
"587";"20";"17/5/2015";"1"
"588";"20";"18/5/2015";"1"
"589";"20";"19/5/2015";"0"
"590";"20";"20/5/2015";"0"
"591";"20";"21/5/2015";"0"
"592";"20";"22/5/2015";"0"
"593";"20";"23/5/2015";"0"
"594";"20";"24/5/2015";"1"
"595";"20";"25/5/2015";"1"
"596";"20";"26/5/2015";"0"
"597";"20";"27/5/2015";"0"
"598";"20";"28/5/2015";"1"
"599";"20";"29/5/2015";"1"
"600";"20";"30/5/2015";"0"
"601";"21";"1/5/2015";"1"
"602";"21";"2/5/2015";"1"
"603";"21";"3/5/2015";"0"
"604";"21";"4/5/2015";"1"
"605";"21";"5/5/2015";"1"
"606";"21";"6/5/2015";"0"
"607";"21";"7/5/2015";"1"
"608";"21";"8/5/2015";"0"
"609";"21";"9/5/2015";"1"
"610";"21";"10/5/2015";"1"
"611";"21";"11/5/2015";"0"
"612";"21";"12/5/2015";"1"
"613";"21";"13/5/2015";"0"
"614";"21";"14/5/2015";"0"
"615";"21";"15/5/2015";"1"
"616";"21";"16/5/2015";"1"
"617";"21";"17/5/2015";"1"
"618";"21";"18/5/2015";"0"
"619";"21";"19/5/2015";"0"
"620";"21";"20/5/2015";"0"
"621";"21";"21/5/2015";"0"
"622";"21";"22/5/2015";"0"
"623";"21";"23/5/2015";"0"
"624";"21";"24/5/2015";"0"
"625";"21";"25/5/2015";"0"
"626";"21";"26/5/2015";"1"
"627";"21";"27/5/2015";"0"
"628";"21";"28/5/2015";"1"
"629";"21";"29/5/2015";"0"
"630";"21";"30/5/2015";"0"
"631";"22";"1/5/2015";"0"
"632";"22";"2/5/2015";"1"
"633";"22";"3/5/2015";"0"
"634";"22";"4/5/2015";"0"
"635";"22";"5/5/2015";"1"
"636";"22";"6/5/2015";"0"
"637";"22";"7/5/2015";"0"
"638";"22";"8/5/2015";"0"
"639";"22";"9/5/2015";"1"
"640";"22";"10/5/2015";"0"
"641";"22";"11/5/2015";"0"
"642";"22";"12/5/2015";"0"
"643";"22";"13/5/2015";"1"
"644";"22";"14/5/2015";"0"
"645";"22";"15/5/2015";"0"
"646";"22";"16/5/2015";"1"
"647";"22";"17/5/2015";"1"
"648";"22";"18/5/2015";"1"
"649";"22";"19/5/2015";"0"
"650";"22";"20/5/2015";"0"
"651";"22";"21/5/2015";"1"
"652";"22";"22/5/2015";"0"
"653";"22";"23/5/2015";"0"
"654";"22";"24/5/2015";"0"
"655";"22";"25/5/2015";"0"
"656";"22";"26/5/2015";"1"
"657";"22";"27/5/2015";"1"
"658";"22";"28/5/2015";"0"
"659";"22";"29/5/2015";"0"
"660";"22";"30/5/2015";"1"
"661";"23";"1/5/2015";"1"
"662";"23";"2/5/2015";"0"
"663";"23";"3/5/2015";"1"
"664";"23";"4/5/2015";"1"
"665";"23";"5/5/2015";"1"
"666";"23";"6/5/2015";"1"
"667";"23";"7/5/2015";"0"
"668";"23";"8/5/2015";"1"
"669";"23";"9/5/2015";"0"
"670";"23";"10/5/2015";"1"
"671";"23";"11/5/2015";"0"
"672";"23";"12/5/2015";"0"
"673";"23";"13/5/2015";"1"
"674";"23";"14/5/2015";"1"
"675";"23";"15/5/2015";"0"
"676";"23";"16/5/2015";"1"
"677";"23";"17/5/2015";"0"
"678";"23";"18/5/2015";"1"
"679";"23";"19/5/2015";"1"
"680";"23";"20/5/2015";"0"
"681";"23";"21/5/2015";"1"
"682";"23";"22/5/2015";"1"
"683";"23";"23/5/2015";"1"
"684";"23";"24/5/2015";"1"
"685";"23";"25/5/2015";"1"
"686";"23";"26/5/2015";"1"
"687";"23";"27/5/2015";"1"
"688";"23";"28/5/2015";"0"
"689";"23";"29/5/2015";"1"
"690";"23";"30/5/2015";"1"
"691";"24";"1/5/2015";"1"
"692";"24";"2/5/2015";"0"
"693";"24";"3/5/2015";"1"
"694";"24";"4/5/2015";"1"
"695";"24";"5/5/2015";"0"
"696";"24";"6/5/2015";"1"
"697";"24";"7/5/2015";"1"
"698";"24";"8/5/2015";"1"
"699";"24";"9/5/2015";"1"
"700";"24";"10/5/2015";"1"
"701";"24";"11/5/2015";"1"
"702";"24";"12/5/2015";"1"
"703";"24";"13/5/2015";"0"
"704";"24";"14/5/2015";"0"
"705";"24";"15/5/2015";"0"
"706";"24";"16/5/2015";"1"
"707";"24";"17/5/2015";"1"
"708";"24";"18/5/2015";"0"
"709";"24";"19/5/2015";"0"
"710";"24";"20/5/2015";"1"
"711";"24";"21/5/2015";"1"
"712";"24";"22/5/2015";"0"
"713";"24";"23/5/2015";"0"
"714";"24";"24/5/2015";"0"
"715";"24";"25/5/2015";"1"
"716";"24";"26/5/2015";"0"
"717";"24";"27/5/2015";"0"
"718";"24";"28/5/2015";"0"
"719";"24";"29/5/2015";"1"
"720";"24";"30/5/2015";"0"
"721";"25";"1/5/2015";"1"
"722";"25";"2/5/2015";"1"
"723";"25";"3/5/2015";"0"
"724";"25";"4/5/2015";"0"
"725";"25";"5/5/2015";"1"
"726";"25";"6/5/2015";"0"
"727";"25";"7/5/2015";"1"
"728";"25";"8/5/2015";"1"
"729";"25";"9/5/2015";"1"
"730";"25";"10/5/2015";"0"
"731";"25";"11/5/2015";"1"
"732";"25";"12/5/2015";"1"
"733";"25";"13/5/2015";"1"
"734";"25";"14/5/2015";"1"
"735";"25";"15/5/2015";"0"
"736";"25";"16/5/2015";"0"
"737";"25";"17/5/2015";"0"
"738";"25";"18/5/2015";"1"
"739";"25";"19/5/2015";"0"
"740";"25";"20/5/2015";"1"
"741";"25";"21/5/2015";"1"
"742";"25";"22/5/2015";"1"
"743";"25";"23/5/2015";"0"
"744";"25";"24/5/2015";"1"
"745";"25";"25/5/2015";"0"
"746";"25";"26/5/2015";"0"
"747";"25";"27/5/2015";"1"
"748";"25";"28/5/2015";"1"
"749";"25";"29/5/2015";"0"
"750";"25";"30/5/2015";"1"
"751";"26";"1/5/2015";"0"
"752";"26";"2/5/2015";"0"
"753";"26";"3/5/2015";"1"
"754";"26";"4/5/2015";"1"
"755";"26";"5/5/2015";"1"
"756";"26";"6/5/2015";"0"
"757";"26";"7/5/2015";"1"
"758";"26";"8/5/2015";"1"
"759";"26";"9/5/2015";"0"
"760";"26";"10/5/2015";"1"
"761";"26";"11/5/2015";"1"
"762";"26";"12/5/2015";"1"
"763";"26";"13/5/2015";"1"
"764";"26";"14/5/2015";"0"
"765";"26";"15/5/2015";"1"
"766";"26";"16/5/2015";"0"
"767";"26";"17/5/2015";"1"
"768";"26";"18/5/2015";"0"
"769";"26";"19/5/2015";"0"
"770";"26";"20/5/2015";"1"
"771";"26";"21/5/2015";"0"
"772";"26";"22/5/2015";"1"
"773";"26";"23/5/2015";"1"
"774";"26";"24/5/2015";"0"
"775";"26";"25/5/2015";"0"
"776";"26";"26/5/2015";"0"
